index,event,final_state,primary_state,mass,to_look
25.1,1,"e, neutrino",W+,0,
25.1,2,di-e,NP,2.28,
25.1,3,di-e,NP,87.15,
25.1,4,di-muon,NP,4.79,
25.1,5,di-e,NP,6.74,
25.1,6,"e, neutrino",W-,0,
25.1,7,di-muon,NP,3.71,
25.1,8,di-muon,NP,7.3,
25.1,9,4-muon,NP,86.43,
25.1,10,"4-e, 1 muon",Zoo,276.26,
25.1,11,4-muon,NP,243.15,
25.1,12,di-muon,NP,88.47,
25.1,13,"e, muon",Zoo,44.61,
25.1,14,"e, neutrino",W+,0,
25.1,15,"e, neutrino",W-,0,
25.1,16,di-muon,NP,5.46,
25.1,17,"muon, nuetrino",W+,0.11,
25.1,18,di-muon,NP,9.72,
25.1,19,"e, neutrino",W+,0,
25.1,20,di-muon,NP,6.3,
25.1,21,"muon, nuetrino",W+,0.11,
25.1,22,di-e,NP,2.13,
25.1,23,2e-2muon,NP,293.55,
25.1,24,"e, neutrino",W+,0,
25.1,25,"e, neutrino",W+,0,
25.1,26,"2-e, muon",Zoo,151.35,
25.1,27,di-muon,NP,11.09,
25.1,28,di-e,NP,2.71,
25.1,29,"e, nuetrino",W+,0,
25.1,30,3-e,Zoo,58.43,^
25.1,31,4-e,NP,154.95,
25.1,32,di-muon,NP,6.18,
25.1,33,di-e,NP,330.04,
25.1,34,di-muon,NP,88.81,
25.1,35,"muon, nuetrino",W+,0.11,
25.1,36,"e, nuetrino",W-,0,
25.1,37,"e, nuetrino",W+,0,
25.1,38,"muon, nuetrino",W-,0.11,
25.1,39,di-e,NP,10.24,
25.1,40,"muon, nuetrino",W-,0.11,
25.1,41,"muon, nuetrino",W-,0.11,
25.1,42,"muon, nuetrino",W+,0.11,
25.1,43,"e, nuetrino",W+,0,
25.1,44,"e, nuetrino",W+,0,
25.1,45,"muon, nuetrino",W-,0.11,
25.1,46,di-e,NP,88.35,
25.1,47,"muon, nuetrino",W+,0.11,
25.1,48,di-e,NP,11.22,
25.1,49,"muon, nuetrino",W+,0.11,
25.1,50,"e, muon",Zoo,27.98,
25.1,51,"muon, neutrino",W-,0.11,
25.1,52,"e, neutrino",W-,0,
25.1,53,"muon, neutrino",W+,0.11,
25.1,54,"e, neutrino",W-,0,
25.1,55,"e, neutrino",W+,0,
25.1,56,"muon, neutrino",W+,0.11,
25.1,57,2e-2muon,NP,148.72,
25.1,58,"e, neutrino",W-,0,
25.1,59,"e, neutrino",W+,0,
25.1,60,"muon, neutrino",W+,0.11,
25.1,61,di-e,NP,4.84,
25.1,62,"muon, neutrino",W+,0.11,
25.1,63,"muon, neutrino",W+,0.11,
25.1,64,"muon, neutrino",W-,0.11,
25.1,65,di-e,NP,37.5,
25.1,66,2e-2muon,NP,96.12,
25.1,67,"muon, neutrino",W-,0.11,
25.1,68,"e, neutrino",W-,0,
25.1,69,"e, neutrino",W-,0,
25.1,70,"muon, neutrino",W+,0.11,
25.1,71,muon. neutrino,W-,0.11,
25.1,72,di-muon,NP,10.27,
25.1,73,"4-muon, e",Zoo,266.64,
25.1,74,"e, neutrino",W+,0,
25.1,75,"e, neutrino",W+,0,
25.1,76,di-e,NP,9.67,
25.1,77,di-e,NP,3.72,
25.1,78,"muon, neutrino",W+,0.11,
25.1,79,"muon, neutrino",W+,0.11,
25.1,80,"e, neutrino",W+,0,
25.1,81,"muon, neutrino",W-,0.11,
25.1,82,e neutrino,W-,0,
25.1,83,"muon, neutrino",W+,0.11,
25.1,84,"muon, neutrino",W+,0.11,
25.1,85,"e, neutrino",W-,0,
25.1,86,"muon, e",Zoo,34.38,
25.1,87,"muon, e",Zoo,14.68,
25.1,88,4-e,NP,363.54,
25.1,89,di-muon,NP,90.33,
25.1,90,"muon, neutrino",W+,0.11,
25.1,91,"muon, neutrino",W-,0.11,
25.1,92,"e, neutrino",W+,0,
25.1,93,2e-2muon,NP,276.38,
25.1,94,"e, muon",Zoo,44.84,
25.1,95,di-muon,NP,7.13,
25.1,96,"muon, neutrino",W+,0.11,
25.1,97,"e, neutrino",W+,0,
25.1,98,di-e,NP,6.87,
25.1,99,4-muon,NP,233.29,
25.1,100,"muon, neutrino",W+,0.11,
